| 0001 | {{#icon:001}} | [[Bisasam]] | Bulbasaur | Bulbizarre | {{Ruby|フシギダネ|Fushigidane}} | {{Ruby|이상해씨|Isanghessi}} | {{Ruby|妙蛙種子 / 妙蛙种子|Miàowāzhǒngzǐ}} | {{#ic:Pflanze}}&nbsp;{{#ic:Gift}}
| 0237 | {{#icon:237}} | [[Kapoera]] | Hitmontop | Kapoera | {{Ruby|カポエラー|Kapoerer}} | {{Ruby|카포에라|Kapoera}} | {{Ruby|戰舞郎 / 战舞郎|Zhànwǔláng}} | {{#ic:Kampf}}
| 0238 | {{#icon:238}} | [[Kussilla]] | Smoochum | Lippouti | {{Ruby|ムチュール|Muchul}} | {{Ruby|뽀뽀라|Ppoppora}} | {{Ruby|迷唇娃 / 迷唇娃|Míchúnwá}} | {{#ic:Eis}}&nbsp;{{#ic:Psycho}}
| 0239 | {{#icon:239}} | [[Elekid]] | Elekid | Élekid | {{Ruby|エレキッド|Elekid}} | {{Ruby|에레키드|Elekid}} | {{Ruby|電擊怪 / 电击怪|Diànjīguài}} | {{#ic:Elektro}}
| 0240 | {{#icon:240}} | [[Magby]] | Magby | Magby | {{Ruby|ブビィ|Buby}} | {{Ruby|마그비|Magby}} | {{Ruby|鴨嘴寶寶 / 鸭嘴宝宝|Yāzuǐbǎobǎo}} | {{#ic:Feuer}}
| 0241 | {{#icon:241}} | [[Miltank]] | Miltank | Écrémeuh | {{Ruby|ミルタンク|Miltank}} | {{Ruby|밀탱크|Miltank}} | {{Ruby|大奶罐 / 大奶罐|Dànǎiguàn}} | {{#ic:Normal}}
| 0242 | {{#icon:242}} | [[Heiteira]] | Blissey | Leuphorie | {{Ruby|ハピナス|Happinas}} | {{Ruby|해피너스|Happynus}} | {{Ruby|幸福蛋 / 幸福蛋|Xìngfúdàn}} | {{#ic:Normal}}
| 0243 | {{#icon:243}} | [[Raikou]] | Raikou | Raikou | {{Ruby|ライコウ|Raikou}} | {{Ruby|라이코|Raikou}} | {{Ruby|雷公 / 雷公|Léigōng}} | {{#ic:Elektro}}
| 0244 | {{#icon:244}} | [[Entei]] | Entei | Entei | {{Ruby|エンテイ|Entei}} | {{Ruby|앤테이|Entei}} | {{Ruby|炎帝 / 炎帝|Yándì}} | {{#ic:Feuer}}
| 0245 | {{#icon:245}} | [[Suicune]] | Suicune | Suicune | {{Ruby|スイクン|Suicune}} | {{Ruby|스이쿤|Suicune}} | {{Ruby|水君 / 水君|Shuǐjūn}} | {{#ic:Wasser}}
| 0246 | {{#icon:246}} | [[Larvitar]] | Larvitar | Embrylex | {{Ruby|ヨーギラス|Yogiras}} | {{Ruby|애버라스|Aebeoras}} | {{Ruby|幼基拉斯 / 幼基拉斯|Yòujīlāsī}} | {{#ic:Gestein}}&nbsp;{{#ic:Boden}}
| 0247 | {{#icon:247}} | [[Pupitar]] | Pupitar | Ymphect | {{Ruby|サナギラス|Sanagiras}} | {{Ruby|데기라스|Degiras}} | {{Ruby|沙基拉斯 / 沙基拉斯|Shājīlāsī}} | {{#ic:Gestein}}&nbsp;{{#ic:Boden}}
| 0248 | {{#icon:248}} | [[Despotar]] | Tyranitar | Tyranocif | {{Ruby|バンギラス|Bangiras}} | {{Ruby|마기라스|Magiras}} | {{Ruby|班基拉斯 / 班基拉斯|Bānjīlāsī}} | {{#ic:Gestein}}&nbsp;{{#ic:Unlicht}}
| 0249 | {{#icon:249}} | [[Lugia]] | Lugia | Lugia | {{Ruby|ルギア|Lugia}} | {{Ruby|루기아|Rugia}} | {{Ruby|洛奇亞 / 洛奇亚|Luòqíyà}} | {{#ic:Psycho}}&nbsp;{{#ic:Flug}}
| 0250 | {{#icon:250}} | [[Ho-Oh]] | Ho-Oh | Ho-Oh | {{Ruby|ホウオウ|Houou}} | {{Ruby|칠색조|Chilsaeckjo}} | {{Ruby|鳳王 / 凤王|Fèngwáng}} | {{#ic:Feuer}}&nbsp;{{#ic:Flug}}
| 0251 | {{#icon:251}} | [[Celebi]] | Celebi | Celebi | {{Ruby|セレビィ|Celebi}} | {{Ruby|세레비|Celebi}} | {{Ruby|時拉比 / 时拉比|Shílābǐ}} | {{#ic:Psycho}}&nbsp;{{#ic:Pflanze}}
| 0252 | {{#icon:252}} | [[Geckarbor]] | Treecko | Arcko | {{Ruby|キモリ|Kimori}} | {{Ruby|나무지기|Namujigi}} | {{Ruby|木守宮 / 木守宫|Mùshǒugōng}} | {{#ic:Pflanze}}
| 0253 | {{#icon:253}} | [[Reptain]] | Grovyle | Massko | {{Ruby|ジュプトル|Juptile}} | {{Ruby|나무돌이|Namudori}} | {{Ruby|森林蜥蜴 / 森林蜥蜴|Sēnlínxīyì}} | {{#ic:Pflanze}}
| 0254 | {{#icon:254}} | [[Gewaldro]] | Sceptile | Jungko | {{Ruby|ジュカイン|Jukain}} | {{Ruby|나무킹|Namuking}} | {{Ruby|蜥蜴王 / 蜥蜴王|Xīyìwáng}} | {{#ic:Pflanze}}
| 0255 | {{#icon:255}} | [[Flemmli]] | Torchic | Poussifeu | {{Ruby|アチャモ|Achamo}} | {{Ruby|아차모|Achamo}} | {{Ruby|火稚雞 / 火稚鸡|Huǒzhìjī}} | {{#ic:Feuer}}
| 0256 | {{#icon:256}} | [[Jungglut]] | Combusken | Galifeu | {{Ruby|ワカシャモ|Wakasyamo}} | {{Ruby|영치코|Youngchiko}} | {{Ruby|力壯雞 / 力壮鸡|Lìzhuàngjī}} | {{#ic:Feuer}}&nbsp;{{#ic:Kampf}}
| 0257 | {{#icon:257}} | [[Lohgock]] | Blaziken | Braségali | {{Ruby|バシャーモ|Bursyamo}} | {{Ruby|번치코|Bunchiko}} | {{Ruby|火焰雞 / 火焰鸡|Huǒyànjī}} | {{#ic:Feuer}}&nbsp;{{#ic:Kampf}}
| 0258 | {{#icon:258}} | [[Hydropi]] | Mudkip | Gobou | {{Ruby|ミズゴロウ|Mizugorou}} | {{Ruby|물짱이|Muljjangi}} | {{Ruby|水躍魚 / 水跃鱼|Shuǐyuèyú}} | {{#ic:Wasser}}
| 0259 | {{#icon:259}} | [[Moorabbel]] | Marshtomp | Flobio | {{Ruby|ヌマクロー|Numacraw}} | {{Ruby|늪짱이|Nupjjangi}} | {{Ruby|沼躍魚 / 沼跃鱼|Zhǎoyuèyú}} | {{#ic:Wasser}}&nbsp;{{#ic:Boden}}
| 0260 | {{#icon:260}} | [[Sumpex]] | Swampert | Laggron | {{Ruby|ラグラージ|Laglarge}} | {{Ruby|대짱이|Daejjangi}} | {{Ruby|巨沼怪 / 巨沼怪|Jùzhǎoguài}} | {{#ic:Wasser}}&nbsp;{{#ic:Boden}}
| 0261 | {{#icon:261}} | [[Fiffyen]] | Poochyena | Medhyèna | {{Ruby|ポチエナ|Pochiena}} | {{Ruby|포챠나|Pochana}} | {{Ruby|土狼犬 / 土狼犬|Tǔlángquǎn}} | {{#ic:Unlicht}}
| 0262 | {{#icon:262}} | [[Magnayen]] | Mightyena | Grahyèna | {{Ruby|グラエナ|Graena}} | {{Ruby|그라에나|Guraeana}} | {{Ruby|大狼犬 / 大狼犬|Dàlángquǎn}} | {{#ic:Unlicht}}
| 0263 | {{#icon:263}} | [[Zigzachs]] | Zigzagoon | Zigzaton | {{Ruby|ジグザグマ|Jiguzaguma}} | {{Ruby|지그제구리|Jigujaeguri}} | {{Ruby|蛇紋熊 / 蛇纹熊|Shéwénxióng}} | {{#ic:Normal}}
| 0264 | {{#icon:264}} | [[Geradaks]] | Linoone | Linéon | {{Ruby|マッスグマ|Massuguma}} | {{Ruby|직구리|Jikguli}} | {{Ruby|直衝熊 / 直冲熊|Zhíchōngxióng}} | {{#ic:Normal}}
| 0265 | {{#icon:265}} | [[Waumpel]] | Wurmple | Chenipotte | {{Ruby|ケムッソ|Kemusso}} | {{Ruby|개무소|Gaemuso}} | {{Ruby|刺尾蟲 / 刺尾虫|Cìwěichóng}} | {{#ic:Käfer}}
| 0266 | {{#icon:266}} | [[Schaloko]] | Silcoon | Armulys | {{Ruby|カラサリス|Karasalis}} | {{Ruby|실쿤|Silcoon}} | {{Ruby|甲殼繭 / 甲壳茧|Jiǎkéjiǎn}} | {{#ic:Käfer}}
| 0267 | {{#icon:267}} | [[Papinella]] | Beautifly | Charmillon | {{Ruby|アゲハント|Agehunt}} | {{Ruby|뷰티플라이|Beautifly}} | {{Ruby|狩獵鳳蝶 / 狩猎凤蝶|Shòulièfèngdié}} | {{#ic:Käfer}}&nbsp;{{#ic:Flug}}
| 0268 | {{#icon:268}} | [[Panekon]] | Cascoon | Blindalys | {{Ruby|マユルド|Mayuld}} | {{Ruby|카스쿤|Cascoon}} | {{Ruby|盾甲繭 / 盾甲茧|Dùnjiǎjiǎn}} | {{#ic:Käfer}}
| 0269 | {{#icon:269}} | [[Pudox]] | Dustox | Papinox | {{Ruby|ドクケイル|Dokucale}} | {{Ruby|독케일|Dokkeil}} | {{Ruby|毒粉蛾 / 毒粉蛾|Dúfěn'é}} | {{#ic:Käfer}}&nbsp;{{#ic:Gift}}
| 0270 | {{#icon:270}} | [[Loturzel]] | Lotad | Nénupiot | {{Ruby|ハスボー|Hassboh}} | {{Ruby|연꽃몬|Yeonkkotmon}} | {{Ruby|蓮葉童子 / 莲叶童子|Liányètóngzǐ}} | {{#ic:Wasser}}&nbsp;{{#ic:Pflanze}}
| 0271 | {{#icon:271}} | [[Lombrero]] | Lombre | Lombre | {{Ruby|ハスブレロ|Hasubrero}} | {{Ruby|로토스|Rotosu}} | {{Ruby|蓮帽小童 / 莲帽小童|Liánmàoxiǎotóng}} | {{#ic:Wasser}}&nbsp;{{#ic:Pflanze}}
| 0272 | {{#icon:272}} | [[Kappalores]] | Ludicolo | Ludicolo | {{Ruby|ルンパッパ|Runpappa}} | {{Ruby|로파파|Ropapa}} | {{Ruby|樂天河童 / 乐天河童|Lètiānhétóng}} | {{#ic:Wasser}}&nbsp;{{#ic:Pflanze}}
| 0273 | {{#icon:273}} | [[Samurzel]] | Seedot | Grainipiot | {{Ruby|タネボー|Taneboh}} | {{Ruby|도토링|Dotoring}} | {{Ruby|橡實果 / 橡实果|Xiàngshíguǒ}} | {{#ic:Pflanze}}
| 0274 | {{#icon:274}} | [[Blanas]] | Nuzleaf | Pifeuil | {{Ruby|コノハナ|Konohana}} | {{Ruby|잎새코|Ipseko}} | {{Ruby|長鼻葉 / 长鼻叶|Chángbíyè}} | {{#ic:Pflanze}}&nbsp;{{#ic:Unlicht}}
| 0275 | {{#icon:275}} | [[Tengulist]] | Shiftry | Tengalice | {{Ruby|ダーテング|Dirteng}} | {{Ruby|다탱구|Datenggu}} | {{Ruby|狡猾天狗 / 狡猾天狗|Jiǎohuátiāngǒu}} | {{#ic:Pflanze}}&nbsp;{{#ic:Unlicht}}
| 0276 | {{#icon:276}} | [[Schwalbini]] | Taillow | Nirondelle | {{Ruby|スバメ|Subame}} | {{Ruby|테일로|Tailow}} | {{Ruby|傲骨燕 / 傲骨燕|Àogǔyàn}} | {{#ic:Normal}}&nbsp;{{#ic:Flug}}
| 0277 | {{#icon:277}} | [[Schwalboss]] | Swellow | Hélédelle | {{Ruby|オオスバメ|Ohsubame}} | {{Ruby|스왈로|Swalow}} | {{Ruby|大王燕 / 大王燕|Dàwángyàn}} | {{#ic:Normal}}&nbsp;{{#ic:Flug}}
| 0278 | {{#icon:278}} | [[Wingull]] | Wingull | Goélise | {{Ruby|キャモメ|Camome}} | {{Ruby|갈모매|Galmomae}} | {{Ruby|長翅鷗 / 长翅鸥|Chángchì'ōu}} | {{#ic:Wasser}}&nbsp;{{#ic:Flug}}
| 0279 | {{#icon:279}} | [[Pelipper]] | Pelipper | Bekipan | {{Ruby|ペリッパー|Pelipper}} | {{Ruby|패리퍼|Pelipper}} | {{Ruby|大嘴鷗 / 大嘴鸥|Dàzuǐ'ōu}} | {{#ic:Wasser}}&nbsp;{{#ic:Flug}}
| 0280 | {{#icon:280}} | [[Trasla]] | Ralts | Tarsal | {{Ruby|ラルトス|Ralts}} | {{Ruby|랄토스|Raltos}} | {{Ruby|拉魯拉絲 / 拉鲁拉丝|Lālǔlāsī}} | {{#ic:Psycho}}&nbsp;{{#ic:Fee}}
| 0281 | {{#icon:281}} | [[Kirlia]] | Kirlia | Kirlia | {{Ruby|キルリア|Kirlia}} | {{Ruby|킬리아|Kirlia}} | {{Ruby|奇魯莉安 / 奇鲁莉安|Qílǔlì'ān}} | {{#ic:Psycho}}&nbsp;{{#ic:Fee}}
| 0282 | {{#icon:282}} | [[Guardevoir]] | Gardevoir | Gardevoir | {{Ruby|サーナイト|Sirnight}} | {{Ruby|가디안|Gadian}} | {{Ruby|沙奈朵 / 沙奈朵|Shānàiduǒ}} | {{#ic:Psycho}}&nbsp;{{#ic:Fee}}
| 0283 | {{#icon:283}} | [[Gehweiher]] | Surskit | Arakdo | {{Ruby|アメタマ|Ametama}} | {{Ruby|비구술|Bigusul}} | {{Ruby|溜溜糖球 / 溜溜糖球|Liūliūtángqiú}} | {{#ic:Käfer}}&nbsp;{{#ic:Wasser}}
| 0284 | {{#icon:284}} | [[Maskeregen]] | Masquerain | Maskadra | {{Ruby|アメモース|Amemoth}} | {{Ruby|비나방|Binabang}} | {{Ruby|雨翅蛾 / 雨翅蛾|Yǔchì'é}} | {{#ic:Käfer}}&nbsp;{{#ic:Flug}}
| 0285 | {{#icon:285}} | [[Knilz]] | Shroomish | Balignon | {{Ruby|キノココ|Kinococo}} | {{Ruby|버섯꼬|Bosotkko}} | {{Ruby|蘑蘑菇 / 蘑蘑菇|Mómógū}} | {{#ic:Pflanze}}
| 0286 | {{#icon:286}} | [[Kapilz]] | Breloom | Chapignon | {{Ruby|キノガッサ|Kinogassa}} | {{Ruby|버섯모|Bosotmo}} | {{Ruby|斗笠菇 / 斗笠菇|Dǒulìgū}} | {{#ic:Pflanze}}&nbsp;{{#ic:Kampf}}
| 0287 | {{#icon:287}} | [[Bummelz]] | Slakoth | Parecool | {{Ruby|ナマケロ|Namakero}} | {{Ruby|게을로|Geulro}} | {{Ruby|懶人獺 / 懒人獭|Lǎnréntǎ}} | {{#ic:Normal}}
| 0288 | {{#icon:288}} | [[Muntier]] | Vigoroth | Vigoroth | {{Ruby|ヤルキモノ|Yarukimono}} | {{Ruby|발바로|Balbaro}} | {{Ruby|過動猿 / 过动猿|Guòdòngyuán}} | {{#ic:Normal}}
| 0289 | {{#icon:289}} | [[Letarking]] | Slaking | Monaflèmit | {{Ruby|ケッキング|Kekking}} | {{Ruby|게을킹|Geulking}} | {{Ruby|請假王 / 请假王|Qǐngjiàwáng}} | {{#ic:Normal}}
| 0290 | {{#icon:290}} | [[Nincada]] | Nincada | Ningale | {{Ruby|ツチニン|Tutinin}} | {{Ruby|토중몬|Tojungmon}} | {{Ruby|土居忍士 / 土居忍士|Tǔjūrěnshì}} | {{#ic:Käfer}}&nbsp;{{#ic:Boden}}
| 0291 | {{#icon:291}} | [[Ninjask]] | Ninjask | Ninjask | {{Ruby|テッカニン|Tekkanin}} | {{Ruby|아이스크|Aisukeu}} | {{Ruby|鐵面忍者 / 铁面忍者|Tiěmiànrěnzhě}} | {{#ic:Käfer}}&nbsp;{{#ic:Flug}}
| 0292 | {{#icon:292}} | [[Ninjatom]] | Shedinja | Munja | {{Ruby|ヌケニン|Nukenin}} | {{Ruby|껍질몬|Kkubjilmon}} | {{Ruby|脫殼忍者 / 脱壳忍者|Tuōkérěnzhě}} | {{#ic:Käfer}}&nbsp;{{#ic:Geist}}
| 0293 | {{#icon:293}} | [[Flurmel]] | Whismur | Chuchmur | {{Ruby|ゴニョニョ|Gonyonyo}} | {{Ruby|소곤룡|Sogonryong}} | {{Ruby|咕妞妞 / 咕妞妞|Gūniūniū}} | {{#ic:Normal}}
| 0294 | {{#icon:294}} | [[Krakeelo]] | Loudred | Ramboum | {{Ruby|ドゴーム|Dogohmb}} | {{Ruby|노공룡|Nogonryong}} | {{Ruby|吼爆彈 / 吼爆弹|Hǒubàodàn}} | {{#ic:Normal}}
| 0295 | {{#icon:295}} | [[Krawumms]] | Exploud | Brouhabam | {{Ruby|バクオング|Bakuong}} | {{Ruby|폭음룡|Pokumryong}} | {{Ruby|爆音怪 / 爆音怪|Bàoyīnguài}} | {{#ic:Normal}}
| 0296 | {{#icon:296}} | [[Makuhita]] | Makuhita | Makuhita | {{Ruby|マクノシタ|Makunoshita}} | {{Ruby|마크탕|Makeutang}} | {{Ruby|幕下力士 / 幕下力士|Mùxiàlìshì}} | {{#ic:Kampf}}
| 0297 | {{#icon:297}} | [[Hariyama]] | Hariyama | Hariyama | {{Ruby|ハリテヤマ|Hariteyama}} | {{Ruby|하리뭉|Harimung}} | {{Ruby|鐵掌力士 / 铁掌力士|Tiězhǎnglìshì}} | {{#ic:Kampf}}
| 0298 | {{#icon:298}} | [[Azurill]] | Azurill | Azurill | {{Ruby|ルリリ|Ruriri}} | {{Ruby|루리리|Ruriri}} | {{Ruby|露力麗 / 露力丽|Lùlìlí}} | {{#ic:Normal}}&nbsp;{{#ic:Fee}}
| 0299 | {{#icon:299}} | [[Nasgnet]] | Nosepass | Tarinor | {{Ruby|ノズパス|Nosepass}} | {{Ruby|코코파스|Kokopas}} | {{Ruby|朝北鼻 / 朝北鼻|Cháoběibí}} | {{#ic:Gestein}}
| 0300 | {{#icon:300}} | [[Eneco]] | Skitty | Skitty | {{Ruby|エネコ|Eneco}} | {{Ruby|에나비|Enabi}} | {{Ruby|向尾喵 / 向尾喵|Xiàngwěimiāo}} | {{#ic:Normal}}
| 0301 | {{#icon:301}} | [[Enekoro]] | Delcatty | Delcatty | {{Ruby|エネコロロ|Enekororo}} | {{Ruby|델케티|Delcatty}} | {{Ruby|優雅貓 / 优雅猫|Yōuyǎmāo}} | {{#ic:Normal}}
| 0302 | {{#icon:302}} | [[Zobiris]] | Sableye | Ténéfix | {{Ruby|ヤミラミ|Yamirami}} | {{Ruby|깜까미|Kamkami}} | {{Ruby|勾魂眼 / 勾魂眼|Gōuhúnyǎn}} | {{#ic:Unlicht}}&nbsp;{{#ic:Geist}}
| 0303 | {{#icon:303}} | [[Flunkifer]] | Mawile | Mysdibule | {{Ruby|クチート|Kucheat}} | {{Ruby|입치트|Ipchitt}} | {{Ruby|大嘴娃 / 大嘴娃|Dàzuǐwá}} | {{#ic:Stahl}}&nbsp;{{#ic:Fee}}
| 0304 | {{#icon:304}} | [[Stollunior]] | Aron | Galekid | {{Ruby|ココドラ|Cokodora}} | {{Ruby|가보리|Gabori}} | {{Ruby|可可多拉 / 可可多拉|Kěkěduōlā}} | {{#ic:Stahl}}&nbsp;{{#ic:Gestein}}
| 0305 | {{#icon:305}} | [[Stollrak]] | Lairon | Galegon | {{Ruby|コドラ|Kodora}} | {{Ruby|갱도라|Gaengdora}} | {{Ruby|可多拉 / 可多拉|Kěduōlā}} | {{#ic:Stahl}}&nbsp;{{#ic:Gestein}}
| 0306 | {{#icon:306}} | [[Stolloss]] | Aggron | Galeking | {{Ruby|ボスゴドラ|Bossgodora}} | {{Ruby|보스로라|Bosrora}} | {{Ruby|波士可多拉 / 波士可多拉|Bōshìkěduōlā}} | {{#ic:Stahl}}&nbsp;{{#ic:Gestein}}
| 0307 | {{#icon:307}} | [[Meditie]] | Meditite | Méditikka | {{Ruby|アサナン|Asanan}} | {{Ruby|요가랑|Yogarang}} | {{Ruby|瑪沙那 / 玛沙那|Mǎshānà}} | {{#ic:Kampf}}&nbsp;{{#ic:Psycho}}
| 0308 | {{#icon:308}} | [[Meditalis]] | Medicham | Charmina | {{Ruby|チャーレム|Charem}} | {{Ruby|요가램|Yogaram}} | {{Ruby|恰雷姆 / 恰雷姆|Qiàléimǔ}} | {{#ic:Kampf}}&nbsp;{{#ic:Psycho}}
| 0309 | {{#icon:309}} | [[Frizelbliz]] | Electrike | Dynavolt | {{Ruby|ラクライ|Rakurai}} | {{Ruby|썬더라이|Thunderai}} | {{Ruby|落雷獸 / 落雷兽|Luòléishòu}} | {{#ic:Elektro}}
| 0310 | {{#icon:310}} | [[Voltenso]] | Manectric | Élecsprint | {{Ruby|ライボルト|Livolt}} | {{Ruby|썬더볼트|Thundervolt}} | {{Ruby|雷電獸 / 雷电兽|Léidiànshòu}} | {{#ic:Elektro}}
| 0311 | {{#icon:311}} | [[Plusle]] | Plusle | Posipi | {{Ruby|プラスル|Prasle}} | {{Ruby|플러시|Plusy}} | {{Ruby|正電拍拍 / 正电拍拍|Zhèngdiànpāipāi}} | {{#ic:Elektro}}
| 0312 | {{#icon:312}} | [[Minun]] | Minun | Négapi | {{Ruby|マイナン|Minun}} | {{Ruby|마이농|Mainong}} | {{Ruby|負電拍拍 / 负电拍拍|Fùdiànpāipāi}} | {{#ic:Elektro}}
| 0313 | {{#icon:313}} | [[Volbeat]] | Volbeat | Muciole | {{Ruby|バルビート|Barubeat}} | {{Ruby|볼비트|Volbeat}} | {{Ruby|電螢蟲 / 电萤虫|Diànyíngchóng}} | {{#ic:Käfer}}
| 0314 | {{#icon:314}} | [[Illumise]] | Illumise | Lumivole | {{Ruby|イルミーゼ|Illumise}} | {{Ruby|네오비트|Neobeat}} | {{Ruby|甜甜螢 / 甜甜萤|Tiántiányíng}} | {{#ic:Käfer}}
| 0315 | {{#icon:315}} | [[Roselia]] | Roselia | Rosélia | {{Ruby|ロゼリア|Roselia}} | {{Ruby|로젤리아|Rozelia}} | {{Ruby|毒薔薇 / 毒蔷薇|Dúqiángwēi}} | {{#ic:Pflanze}}&nbsp;{{#ic:Gift}}
| 0316 | {{#icon:316}} | [[Schluppuck]] | Gulpin | Gloupti | {{Ruby|ゴクリン|Gokulin}} | {{Ruby|꼴깍몬|Kolkkakmon}} | {{Ruby|溶食獸 / 溶食兽|Róngshíshòu}} | {{#ic:Gift}}
| 0317 | {{#icon:317}} | [[Schlukwech]] | Swalot | Avaltout | {{Ruby|マルノーム|Marunoom}} | {{Ruby|꿀꺽몬|Koolkkokmon}} | {{Ruby|吞食獸 / 吞食兽|Tūnshíshòu}} | {{#ic:Gift}}
| 0318 | {{#icon:318}} | [[Kanivanha]] | Carvanha | Carvanha | {{Ruby|キバニア|Kibanha}} | {{Ruby|샤프니아|Sharpnia}} | {{Ruby|利牙魚 / 利牙鱼|Lìyáyú}} | {{#ic:Wasser}}&nbsp;{{#ic:Unlicht}}
| 0319 | {{#icon:319}} | [[Tohaido]] | Sharpedo | Sharpedo | {{Ruby|サメハダー|Samehader}} | {{Ruby|샤크니아|Sharknia}} | {{Ruby|巨牙鯊 / 巨牙鲨|Jùyáshā}} | {{#ic:Wasser}}&nbsp;{{#ic:Unlicht}}
| 0320 | {{#icon:320}} | [[Wailmer]] | Wailmer | Wailmer | {{Ruby|ホエルコ|Hoeruko}} | {{Ruby|고래왕자|Goraewangja}} | {{Ruby|吼吼鯨 / 吼吼鲸|Hǒuhǒujīng}} | {{#ic:Wasser}}
| 0321 | {{#icon:321}} | [[Wailord]] | Wailord | Wailord | {{Ruby|ホエルオー|Whaloh}} | {{Ruby|고래왕|Goraewang}} | {{Ruby|吼鯨王 / 吼鲸王|Hǒujīngwáng}} | {{#ic:Wasser}}
| 0322 | {{#icon:322}} | [[Camaub]] | Numel | Chamallot | {{Ruby|ドンメル|Donmel}} | {{Ruby|둔타|Doonta}} | {{Ruby|呆火駝 / 呆火驼|Dāihuǒtuó}} | {{#ic:Feuer}}&nbsp;{{#ic:Boden}}
| 0323 | {{#icon:323}} | [[Camerupt]] | Camerupt | Camérupt | {{Ruby|バクーダ|Bakuuda}} | {{Ruby|폭타|Pokta}} | {{Ruby|噴火駝 / 喷火驼|Pēnhuǒtuó}} | {{#ic:Feuer}}&nbsp;{{#ic:Boden}}
| 0324 | {{#icon:324}} | [[Qurtel]] | Torkoal | Chartor | {{Ruby|コータス|Cotoise}} | {{Ruby|코터스|Kotas}} | {{Ruby|煤炭龜 / 煤炭龟|Méitànguī}} | {{#ic:Feuer}}
| 0325 | {{#icon:325}} | [[Spoink]] | Spoink | Spoink | {{Ruby|バネブー|Baneboo}} | {{Ruby|피그점프|Pigjump}} | {{Ruby|跳跳豬 / 跳跳猪|Tiàotiàozhū}} | {{#ic:Psycho}}
| 0326 | {{#icon:326}} | [[Groink]] | Grumpig | Groret | {{Ruby|ブーピッグ|Boopig}} | {{Ruby|피그킹|Pigking}} | {{Ruby|噗噗豬 / 噗噗猪|Pūpūzhū}} | {{#ic:Psycho}}
| 0327 | {{#icon:327}} | [[Pandir]] | Spinda | Spinda | {{Ruby|パッチール|Patcheel}} | {{Ruby|얼루기|Ollugi}} | {{Ruby|晃晃斑 / 晃晃斑|Huànghuàngbān}} | {{#ic:Normal}}
| 0328 | {{#icon:328}} | [[Knacklion]] | Trapinch | Kraknoix | {{Ruby|ナックラー|Nuckrar}} | {{Ruby|톱치|Topchi}} | {{Ruby|大顎蟻 / 大颚蚁|Dà‘èyǐ}} | {{#ic:Boden}}
| 0329 | {{#icon:329}} | [[Vibrava]] | Vibrava | Vibraninf | {{Ruby|ビブラーバ|Vibrava}} | {{Ruby|비브라바|Vibrava}} | {{Ruby|超音波幼蟲 / 超音波幼虫|Chāoyīnbōyòuchóng}} | {{#ic:Boden}}&nbsp;{{#ic:Drache}}
| 0330 | {{#icon:330}} | [[Libelldra]] | Flygon | Libégon | {{Ruby|フライゴン|Flygon}} | {{Ruby|플라이곤|Flygon}} | {{Ruby|沙漠蜻蜓 / 沙漠蜻蜓|Shāmòqīngtíng}} | {{#ic:Boden}}&nbsp;{{#ic:Drache}}
| 0331 | {{#icon:331}} | [[Tuska]] | Cacnea | Cacnea | {{Ruby|サボネア|Sabonea}} | {{Ruby|선인왕|Seoninwang}} | {{Ruby|刺球仙人掌 / 刺球仙人掌|Cìqiúxiānrénzhǎng}} | {{#ic:Pflanze}}
| 0332 | {{#icon:332}} | [[Noktuska]] | Cacturne | Cacturne | {{Ruby|ノクタス|Noctus}} | {{Ruby|밤선인|Bamseonin}} | {{Ruby|夢歌仙人掌 / 梦歌仙人掌|Mènggēxiānrénzhǎng}} | {{#ic:Pflanze}}&nbsp;{{#ic:Unlicht}}
| 0333 | {{#icon:333}} | [[Wablu]] | Swablu | Tylton | {{Ruby|チルット|Tyltto}} | {{Ruby|파비코|Pavico}} | {{Ruby|青綿鳥 / 青绵鸟|Qīngmiánniǎo}} | {{#ic:Normal}}&nbsp;{{#ic:Flug}}
| 0334 | {{#icon:334}} | [[Altaria]] | Altaria | Altaria | {{Ruby|チルタリス|Tyltalis}} | {{Ruby|파비코리|Pavicori}} | {{Ruby|七夕青鳥 / 七夕青鸟|Qīxīqīngniǎo}} | {{#ic:Drache}}&nbsp;{{#ic:Flug}}
| 0335 | {{#icon:335}} | [[Sengo]] | Zangoose | Mangriff | {{Ruby|ザングース|Zangoose}} | {{Ruby|쟝고|Zanggo}} | {{Ruby|貓鼬斬 / 猫鼬斩|Māoyòuzhǎn}} | {{#ic:Normal}}
| 0336 | {{#icon:336}} | [[Vipitis]] | Seviper | Séviper | {{Ruby|ハブネーク|Habunake}} | {{Ruby|세비퍼|Seviper}} | {{Ruby|飯匙蛇 / 饭匙蛇|Fànchíshé}} | {{#ic:Gift}}
| 0337 | {{#icon:337}} | [[Lunastein]] | Lunatone | Séléroc | {{Ruby|ルナトーン|Lunatone}} | {{Ruby|루나톤|Lunatone}} | {{Ruby|月石 / 月石|Yuèshí}} | {{#ic:Gestein}}&nbsp;{{#ic:Psycho}}
| 0338 | {{#icon:338}} | [[Sonnfel]] | Solrock | Solaroc | {{Ruby|ソルロック|Solrock}} | {{Ruby|솔록|Solrock}} | {{Ruby|太陽岩 / 太阳岩|Tàiyángyán}} | {{#ic:Gestein}}&nbsp;{{#ic:Psycho}}
